name,lat,lon,humidity,temp,temp_max,temp_min,wind mph,clouds
Punta Arenas,-53.15,-70.9167,67.0,15.78,16.0,15.56,4.12,0.0
Pāsighāt,28.0667,95.3333,34.0,17.89,17.89,17.89,1.71,48.0
Qaanaaq,77.484,-69.3632,69.0,-16.81,-16.81,-16.81,3.91,4.0
Qandala,11.472,49.8728,65.0,24.1,24.1,24.1,4.29,91.0
Qaqortoq,60.7167,-46.0333,25.0,0.0,0.0,0.0,11.83,20.0
Qaryat Sulūq,31.6682,20.2521,35.0,18.43,18.43,18.43,2.2,0.0
Quatre Cocos,-20.2078,57.7625,74.0,26.24,27.0,25.56,4.12,40.0
Quibdó,5.6947,-76.6611,60.0,31.35,31.35,31.35,0.93,23.0
Rabo de Peixe,37.8,-25.5833,88.0,16.67,17.22,16.0,8.75,75.0
Ribeira Grande,38.5167,-28.7,67.0,17.0,17.0,17.0,10.29,40.0
Richards Bay,-28.783,32.0377,77.0,26.36,26.36,26.36,3.75,98.0
Rikitea,-23.1203,-134.9692,75.0,25.65,25.65,25.65,4.29,60.0
Rio Grande,-32.035,-52.0986,69.0,28.0,28.0,28.0,6.17,75.0
Roald,62.5833,6.1333,74.0,-5.75,-4.0,-7.22,6.69,0.0
Rosarito,32.3333,-117.0333,82.0,12.33,13.0,12.0,1.84,75.0
Rutland,43.6167,-73.0162,93.0,-5.45,-3.0,-7.78,3.6,1.0
Río Gallegos,-51.6226,-69.2181,59.0,19.0,19.0,19.0,5.14,0.0
Sabha,27.0377,14.4283,17.0,24.35,24.35,24.35,2.1,0.0
Saint Anthony,45.0205,-93.218,60.0,-16.16,-15.56,-17.0,3.09,90.0
Saint George,37.1041,-113.5841,46.0,9.3,11.11,8.0,0.51,1.0
Saint Paul Harbor,57.79,-152.4072,75.0,3.0,3.0,3.0,7.2,90.0
Saint-Augustin,51.226,-58.6502,96.0,-9.76,-9.76,-9.76,4.11,100.0
Saint-François,46.4154,3.9054,86.0,0.8,1.0,0.56,6.17,90.0
Saint-Philippe,-21.3585,55.7679,69.0,24.81,28.0,19.44,3.6,0.0
Saint-Pierre,-21.3393,55.4781,69.0,26.36,28.0,22.78,3.6,0.0
Sakakah,29.9697,40.2064,42.0,19.0,19.0,19.0,2.06,0.0
Salalah,17.0151,54.0924,47.0,25.0,25.0,25.0,2.06,0.0
Salamanca,40.8333,-6.0,50.0,11.07,11.67,10.56,5.66,0.0
Saldanha,-33.0117,17.9442,47.0,27.0,27.0,27.0,5.66,0.0
Salta,-24.7859,-65.4117,68.0,19.0,19.0,19.0,1.54,40.0
Samarai,-10.6167,150.6667,76.0,27.96,27.96,27.96,5.78,97.0
San Cristobal,7.7669,-72.225,69.0,26.0,26.0,26.0,3.09,75.0
San Patricio,28.017,-97.5169,94.0,21.33,22.0,20.0,6.69,90.0
San Policarpo,12.1791,125.5072,86.0,26.93,26.93,26.93,5.06,51.0
San Quintín,30.4833,-115.95,68.0,12.94,12.94,12.94,4.4,95.0
Sangar,63.9242,127.4739,85.0,-28.46,-28.46,-28.46,0.67,0.0
Sant Julià de Loria,42.4625,1.4825,43.0,4.01,10.0,-2.78,3.6,40.0
Santa,17.486,120.4348,77.0,25.56,25.56,25.56,1.07,98.0
Santa Isabel,-23.3156,-46.2214,50.0,26.36,27.0,26.0,2.57,75.0
Santiago del Estero,-27.7951,-64.2615,66.0,26.11,26.11,26.11,0.45,90.0
Sarkand,45.41,79.9186,89.0,-6.6,-6.6,-6.6,0.77,100.0
Saskylakh,71.9167,114.0833,84.0,-28.96,-28.96,-28.96,4.83,4.0
Say,13.1007,2.3689,5.0,37.0,37.0,37.0,3.09,0.0
Segezha,63.7415,34.3222,91.0,-19.53,-19.53,-19.53,1.98,59.0
Senneterre,48.3835,-77.2328,72.0,-15.0,-15.0,-15.0,2.57,20.0
Seoul,37.5683,126.9778,93.0,2.35,3.0,2.0,1.03,75.0
Sept-Îles,50.2001,-66.3821,44.0,-11.18,-10.56,-12.0,6.17,20.0
Serebryansk,49.6925,83.2892,77.0,-24.0,-24.0,-24.0,1.0,40.0
Severo-Kuril'sk,50.6789,156.125,89.0,-3.47,-3.47,-3.47,4.18,79.0
Shakawe,-18.3667,21.85,92.0,20.26,20.26,20.26,3.21,100.0
Shelburne,44.0787,-80.2041,79.0,-7.79,-6.67,-9.44,4.44,67.0
Shingū,33.7333,135.9833,74.0,5.08,5.08,5.08,3.05,24.0
Si Bun Rueang,16.9667,102.2833,66.0,20.56,20.56,20.56,0.54,4.0
Sibolga,1.7427,98.7792,82.0,26.02,26.02,26.02,1.14,100.0
Sindhnūr,15.7833,76.7667,24.0,23.22,23.22,23.22,2.08,0.0
Sioux Lookout,50.1001,-91.917,76.0,-29.0,-29.0,-29.0,1.82,20.0
